GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978709,Barker,Town,2732,1114,41.7,Broome,Southern Tier Region,1,1000,90,2,1000,90,1,0,0,4,1000,90,5,1000,90,4
943010,Barker,Village,533,234,0.4,Niagara,Western NY Region,1,220,94,1,220,94,0,0,0,2,220,94,4,220,94,4
967789,Barneveld,Village,284,129,0.2,Oneida,Mohawk Valley Region,1,120,93,0,0,0,1,0,0,2,120,93,2,120,93,4
978710,Barre,Town,2025,827,55.1,Orleans,Finger Lakes Region,1,700,85,1,490,59,0,0,0,2,740,89,5,800,97,4
978711,Barrington,Town,1681,1108,37.2,Yates,Finger Lakes Region,1,680,61,2,810,73,0,0,0,3,1000,90,2,1000,90,4
978712,Barton,Town,8858,3930,59.7,Tioga,Southern Tier Region,2,3400,87,2,3500,89,0,0,0,4,3700,94,5,3800,97,4
978713,Batavia,City,15465,7219,5.3,Genesee,Finger Lakes Region,1,7000,97,1,6900,96,2,0,0,4,7000,97,5,7000,97,4
978714,Batavia,Town,6809,2582,48.4,Genesee,Finger Lakes Region,1,2400,93,2,2300,89,1,0,0,4,2400,93,6,2500,97,4
978715,Bath,Town,12379,5822,96.3,Steuben,Southern Tier Region,1,4900,84,1,4400,76,3,2500,43,5,5300,91,3,5600,96,4
943162,Bath,Village,5786,2934,3.1,Steuben,Southern Tier Region,1,2800,95,1,2800,95,2,2500,85,4,2800,95,3,2800,95,4
943176,Baxter Estates,Village,999,411,0.2,Nassau,Long Island Region,1,390,95,2,390,95,1,390,95,3,390,95,4,390,95,4
943216,Bayville,Village,6669,2651,1.4,Nassau,Long Island Region,1,2500,94,1,2100,79,3,2500,94,4,2500,94,4,2500,94,4
978716,Beacon,City,15541,5715,4.9,Dutchess,Mid-Hudson Region,1,5500,96,1,5500,96,3,1200,21,4,5500,96,4,5500,96,4
978717,Bedford,Town,17335,6326,39.6,Westchester,Mid-Hudson Region,1,6100,96,1,5500,87,5,6000,95,6,6100,96,4,6100,96,4
978718,Beekman,Town,14621,4797,30.7,Dutchess,Mid-Hudson Region,2,4600,96,2,4500,94,1,0,0,5,4600,96,4,4600,96,4
978719,Beekmantown,Town,5545,2469,69.5,Clinton,North Country Region,2,2200,89,3,1900,77,2,480,19,5,2300,93,5,2300,93,4
978720,Belfast,Town,1663,1044,36.6,Allegany,Western NY Region,1,550,53,1,50,5,0,0,0,2,630,60,4,1000,96,4
943608,Bellerose,Village,1193,378,0.1,Nassau,Long Island Region,2,360,95,2,360,95,1,360,95,4,360,95,4,360,95,4
943606,Belle Terre,Village,792,308,0.9,Suffolk,Long Island Region,1,290,94,1,240,78,1,280,91,2,290,94,4,290,94,4
978721,Bellmont,Town,1434,1257,167,Franklin,North Country Region,1,0,0,1,200,16,0,0,0,2,210,17,3,1100,88,4
943626,Bellport,Village,2084,1170,1.5,Suffolk,Long Island Region,1,1100,94,2,1100,94,2,0,0,5,1100,94,5,1100,94,4
977517,Belmont,Village,969,455,1,Allegany,Western NY Region,1,440,97,1,430,95,0,0,0,2,440,97,4,440,97,4
943649,Bemus Point,Village,364,293,0.4,Chautauqua,Western NY Region,1,280,96,1,270,92,0,0,0,2,280,96,3,280,96,4
978722,Bennington,Town,3359,1425,55.3,Wyoming,Finger Lakes Region,1,1300,91,2,910,64,0,0,0,3,1300,91,6,1300,91,4
978723,Benson,Town,192,177,83.3,Hamilton,North Country Region,1,10,6,1,160,90,0,0,0,2,160,90,3,90,51,4
978724,Benton,Town,2836,1093,44.4,Yates,Finger Lakes Region,1,670,61,2,870,80,0,0,0,3,940,86,5,1000,91,4
978725,Bergen,Town,3120,1293,27.6,Genesee,Finger Lakes Region,1,1200,93,1,1100,85,1,0,0,3,1200,93,5,1200,93,4
943720,Bergen,Village,1176,477,0.7,Genesee,Finger Lakes Region,1,460,96,1,460,96,1,0,0,3,460,96,4,460,96,4
978726,Berkshire,Town,1412,585,30.5,Tioga,Southern Tier Region,1,420,72,1,560,96,2,0,0,3,560,96,4,560,96,4
978727,Berlin,Town,1880,1100,60.3,Rensselaer,Capital Region,1,0,0,2,930,85,0,0,0,3,950,86,4,1000,91,4
978728,Berne,Town,2794,1634,64.6,Albany,Capital Region,1,1100,67,1,20,1,0,0,0,2,1100,67,4,1500,92,4
978729,Bethany,Town,1765,710,36.1,Genesee,Finger Lakes Region,1,500,70,1,510,72,0,0,0,2,580,82,5,680,96,4
978730,Bethel,Town,4255,3954,89.9,Sullivan,Mid-Hudson Region,1,3500,89,2,3100,78,0,0,0,3,3600,91,3,3800,96,4
978731,Bethlehem,Town,33656,14029,49.4,Albany,Capital Region,1,13600,97,1,10200,73,5,9900,71,6,13600,97,5,13600,97,4
